ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Audio_Files
Ende-1nsgexclNOM-2,,Ende,1nsgexclNOM,ŋəmi,ŋəmi,,,,,,,,9256ab8e37d72e9b1d9173d2e5efd4ea
Kawam-1nsgexclNOM-1,,Kawam,1nsgexclNOM,ŋəmi,ŋəmi,,,,,,,,ee35d121b9d488691800a30410aa073a
Kawam-1nsgexclNOM-2,,Kawam,1nsgexclNOM,ŋəmi,ŋəmi,,,,,,,,ee35d121b9d488691800a30410aa073a
Taeme-1nsgexclNOM-1,,Taeme,1nsgexclNOM,ŋəmi,ŋəmi,,,,,,,,011e924e666fe6d09cce7edd16502d2c
Taeme-1nsgexclNOM-2,,Taeme,1nsgexclNOM,ŋəmi,ŋəmi,,,,,,,,011e924e666fe6d09cce7edd16502d2c
Taeme-1nsgexclNOM-too-1,,Taeme,1nsgexclNOM-too,ŋɘmiade,ŋɘmiade,,,,,,,,
Agob-1nsgexclPOSS-1,,Agob,1nsgexclPOSS,ŋəma,ŋəma,,,,,,,,
Agob-1nsgexclPOSS-2,,Agob,1nsgexclPOSS,ŋəma,ŋəma,,,,,,,,
Kawam-1nsgexclPOSS-1,,Kawam,1nsgexclPOSS,ŋəma,ŋəma,,,,,,,,
Kawam-1nsgexclPOSS-2,,Kawam,1nsgexclPOSS,ŋəma,ŋəma,,,,,,,,
Taeme-1nsgexclPOSS-1,,Taeme,1nsgexclPOSS,ŋəma,ŋəma,,,,,,,,
Taeme-1nsgexclPOSS-2,,Taeme,1nsgexclPOSS,ŋəmɑ,ŋəmɑ,,,,,,,,
Agob-1nsginclACC-1,,Agob,1nsginclACC,ibom,ibom,,,,,,,,
Agob-1nsginclACC-2,,Agob,1nsginclACC,ibom,ibom,,,,,,,,
Kawam-1nsginclACC-1,,Kawam,1nsginclACC,ibim,ibim,,,,,,,,
Kawam-1nsginclACC-2,,Kawam,1nsginclACC,ibim,ibim,,,,,,,,
Taeme-1nsginclACC-1,,Taeme,1nsginclACC,jɪbim,jɪbim,,,,,,,,
Taeme-1nsginclACC-2,,Taeme,1nsginclACC,jɪbim,jɪbim,,,,,,,,
Agob-1nsginclDAT-1,,Agob,1nsginclDAT,ibra,ibra,,,,,,,,
Agob-1nsginclDAT-2,,Agob,1nsginclDAT,ibɽa,ibɽa,,,,,,,,
Kawam-1nsginclDAT-1,,Kawam,1nsginclDAT,ibra,ibra,,,,,,,,
Kawam-1nsginclDAT-2,,Kawam,1nsginclDAT,ibrɐ,ibrɐ,,,,,,,,
Taeme-1nsginclDAT-1,,Taeme,1nsginclDAT,jɪbʎi,jɪbʎi,,,,,,,,
Taeme-1nsginclDAT-2,,Taeme,1nsginclDAT,jɪbʎi,jɪbʎi,,,,,,,,
Agob-1nsginclNOM-1,,Agob,1nsginclNOM,ibi,ibi,,,,,,,,723cbcfacc50affa6a89b2fd82ec2516
Agob-1nsginclNOM-2,,Agob,1nsginclNOM,ibi,ibi,,,,,,,,723cbcfacc50affa6a89b2fd82ec2516
Em-1nsginclNOM-1,,Em,1nsginclNOM,ibi,ibi,,,,,,,,ad2c0508c5583ad229ad4eddf47000e5
Em-1nsginclNOM-2,,Em,1nsginclNOM,ibi,ibi,,,,,,,,ad2c0508c5583ad229ad4eddf47000e5
Kawam-1nsginclNOM-1,,Kawam,1nsginclNOM,ibi,ibi,,,,,,,,4604abc244e68e4368a9e40ae96056b1
Kawam-1nsginclNOM-2,,Kawam,1nsginclNOM,ibi,ibi,,,,,,,,4604abc244e68e4368a9e40ae96056b1
Kawam-1nsginclNOM-3,,Kawam,1nsginclNOM,ibi,ibi,,,,,,,,15181e5dbdcb4fbfa11bd69eb4c91c2c
Kawam-1nsginclNOM-4,,Kawam,1nsginclNOM,ibi,ibi,,,,,,,,15181e5dbdcb4fbfa11bd69eb4c91c2c
Kawam-1nsginclNOM-5,,Kawam,1nsginclNOM,ibi,ibi,,,,,,,,
Taeme-1nsginclNOM-1,,Taeme,1nsginclNOM,jɪbi,jɪbi,,,,,,,,0f26c30315c870a125551d0148fb148a
Taeme-1nsginclNOM-2,,Taeme,1nsginclNOM,jəbi,jəbi,,,,,,,,be44b5816ab2a15131f754d5c01cfcd6
Taeme-1nsginclNOM-3,,Taeme,1nsginclNOM,jɪbi,jɪbi,,,,,,,,be44b5816ab2a15131f754d5c01cfcd6
Em-1nsginclNOM-too-1,,Em,1nsginclNOM-too,ibiade,ibiade,,,,,,,,
Ende-1nsginclNOM-too-1,,Ende,1nsginclNOM-too,ŋəmiade,ŋəmiade,,,,,,,,
Ende-1nsginclNOM-two-1,,Ende,1nsginclNOM-two,ŋəmi komɽa,ŋəmi komɽa,,,,,,,,
Agob-1nsginclPOSS-1,,Agob,1nsginclPOSS,iba,iba,,,,,,,,
Agob-1nsginclPOSS-2,,Agob,1nsginclPOSS,ibɐ,ibɐ,,,,,,,,
Kawam-1nsginclPOSS-1,,Kawam,1nsginclPOSS,iba,iba,,,,,,,,
Kawam-1nsginclPOSS-2,,Kawam,1nsginclPOSS,iba,iba,,,,,,,,
Taeme-1nsginclPOSS-1,,Taeme,1nsginclPOSS,jəba,jəba,,,,,,,,
Taeme-1nsginclPOSS-2,,Taeme,1nsginclPOSS,jɛbɐ,jɛbɐ,,,,,,,,
Agob-1sgACC-1,,Agob,1sgACC,ŋənam,ŋənam,,,,,,,,
Agob-1sgACC-2,,Agob,1sgACC,ŋənam,ŋənam,,,,,,,,
Kawam-1sgACC-1,,Kawam,1sgACC,ŋonom,ŋonom,,,,,,,,
Kawam-1sgACC-2,,Kawam,1sgACC,ŋonom,ŋonom,,,,,,,,
Taeme-1sgACC-1,,Taeme,1sgACC,ŋənəm,ŋənəm,,,,,,,,
Taeme-1sgACC-2,,Taeme,1sgACC,ŋənəm,ŋənəm,,,,,,,,
Agob-1sgDAT-1,,Agob,1sgDAT,ŋɵmɽe,ŋɵmɽe,,,,,,,,
Agob-1sgDAT-2,,Agob,1sgDAT,ŋomɽe,ŋomɽe,,,,,,,,
Kawam-1sgDAT-1,,Kawam,1sgDAT,ŋəmre,ŋəmre,,,,,,,,
Kawam-1sgDAT-2,,Kawam,1sgDAT,ŋəmre,ŋəmre,,,,,,,,
Taeme-1sgDAT-1,,Taeme,1sgDAT,ŋəmʎæ,ŋəmʎæ,,,,,,,,
Taeme-1sgDAT-2,,Taeme,1sgDAT,ŋəmlɛ,ŋəmlɛ,,,,,,,,
Agob-1sgNOM-1,,Agob,1sgNOM,ŋəna,ŋəna,,,,,,,,e0ed0d7b26bff39e792c64d912c3153f
Agob-1sgNOM-2,,Agob,1sgNOM,ŋəna,ŋəna,,,,,,,,e0ed0d7b26bff39e792c64d912c3153f
Em-1sgNOM-1,,Em,1sgNOM,ŋəna,ŋəna,,,,,,,,682035d83c724bd6995639d8ccaa56c0
Em-1sgNOM-2,,Em,1sgNOM,ŋəna,ŋəna,,,,,,,,682035d83c724bd6995639d8ccaa56c0
Ende-1sgNOM-1,,Ende,1sgNOM,ŋəna,ŋəna,,,,,,,,0b43aaa104c694959e50ca1d42c5481d
Ende-1sgNOM-2,,Ende,1sgNOM,ŋəna,ŋəna,,,,,,,,0b43aaa104c694959e50ca1d42c5481d
Idi-1sgNOM-1,,Idi,1sgNOM,ŋən,ŋən,,,,,,,,
Idi-1sgNOM-2,,Idi,1sgNOM,ŋən,ŋən,,,,,,,,
Kawam-1sgNOM-1,,Kawam,1sgNOM,ŋəna,ŋəna,,,,,,,,2c8ea52399ace69b91281a65b5c14ff1
Kawam-1sgNOM-2,,Kawam,1sgNOM,ŋəna,ŋəna,,,,,,,,2c8ea52399ace69b91281a65b5c14ff1
Kawam-1sgNOM-3,,Kawam,1sgNOM,ŋəna,ŋəna,,,,,,,,69dd25fba9dabd52a07831656baca2c9
Kawam-1sgNOM-4,,Kawam,1sgNOM,ŋəna,ŋəna,,,,,,,,69dd25fba9dabd52a07831656baca2c9
Kawam-1sgNOM-5,,Kawam,1sgNOM,ŋana,ŋana,,,,,,,,
Taeme-1sgNOM-1,,Taeme,1sgNOM,ŋən,ŋən,,,,,,,,14a53c96c89b448ad46840ef677f22a7
Taeme-1sgNOM-2,,Taeme,1sgNOM,ŋən,ŋən,,,,,,,,b580e7741f39164a1b79c1a8529b3b17
Taeme-1sgNOM-3,,Taeme,1sgNOM,ŋən,ŋən,,,,,,,,b580e7741f39164a1b79c1a8529b3b17
Taeme-1sgNOM-4,,Taeme,1sgNOM,ŋən,ŋən,,,,,,,,b854eaebc336391027268d4035a94e9f
Agob-1sgPOSS-1,,Agob,1sgPOSS,ŋɵmo,ŋɵmo,,,,,,,,
